step	toolchain-preflight	rc=0	log=toolchain-preflight.log
step	shipping-path-gate	rc=0	sha256=2b8e32770b5deaf40aca86b8c6af1e3d6c69289b44659eef6ebf10bbc51f61a3	log=shipping-path-gate.log
step	gradle-version	rc=0	sha256=6b4b8a6d7ab033d59f8bcbab88eb7cdc137116338a0edcbd87e12a6584b77bc1	log=gradle-version.log
step	gradle-phase0	rc=0	sha256=ee46753928d6330416ece38a972cda896aeb66602c8d76cd51cce1b4581e7acc	log=gradle-phase0.log
step	gradle-oracle-vm	rc=0	sha256=997edbcd4f469fd02710495f736f5d05c2ab026acf4e00c4257a4117cae83f16	log=gradle-oracle-vm.log
step	test-xml	rc=0	xml_count=8	manifest=test-xml.log
