step	toolchain-preflight	rc=0	log=toolchain-preflight.log
step	shipping-path-gate	rc=0	sha256=2b8e32770b5deaf40aca86b8c6af1e3d6c69289b44659eef6ebf10bbc51f61a3	log=shipping-path-gate.log
step	gradle-version	rc=0	sha256=6b4b8a6d7ab033d59f8bcbab88eb7cdc137116338a0edcbd87e12a6584b77bc1	log=gradle-version.log
step	gradle-phase0	rc=0	sha256=fd7c90dbf10ce608cd12aa3e8cf1d742d67e89024ffddbbd88d8e59e3812887c	log=gradle-phase0.log
step	gradle-oracle-vm	rc=0	sha256=3ab504bc97979f21b4b7bce1a2b806981a7cb86415e4889bdb216facf4063c84	log=gradle-oracle-vm.log
step	test-xml	rc=0	xml_count=7	manifest=test-xml.log
