step	toolchain-preflight	rc=0	log=toolchain-preflight.log
step	shipping-path-gate	rc=0	sha256=2b8e32770b5deaf40aca86b8c6af1e3d6c69289b44659eef6ebf10bbc51f61a3	log=shipping-path-gate.log
step	gradle-version	rc=0	sha256=6b4b8a6d7ab033d59f8bcbab88eb7cdc137116338a0edcbd87e12a6584b77bc1	log=gradle-version.log
step	gradle-phase0	rc=0	sha256=cd534915c758b2de7c6bcdbc778856528db071aa61ca0d442e603923d0e8be1a	log=gradle-phase0.log
step	gradle-oracle-vm	rc=0	sha256=e6180ed5210e90c1daab83e8a0584e5e68cafa3b2df760d2dc3af6c35dd38812	log=gradle-oracle-vm.log
step	test-xml	rc=0	xml_count=8	manifest=test-xml.log
