step	toolchain-preflight	rc=0	log=toolchain-preflight.log
step	shipping-path-gate	rc=0	sha256=2b8e32770b5deaf40aca86b8c6af1e3d6c69289b44659eef6ebf10bbc51f61a3	log=shipping-path-gate.log
step	gradle-version	rc=0	sha256=6b4b8a6d7ab033d59f8bcbab88eb7cdc137116338a0edcbd87e12a6584b77bc1	log=gradle-version.log
step	gradle-phase0	rc=0	sha256=e3c243e7cefcf31ea8f9f8da741c524c70b838b5cf9cea4d4fd58650257d5aa4	log=gradle-phase0.log
step	gradle-oracle-vm	rc=0	sha256=31b1fb3f67149162065161f9fc7da745087737fed78cc2d2938e4d2d5fb43c68	log=gradle-oracle-vm.log
step	test-xml	rc=0	xml_count=7	manifest=test-xml.log
